PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2220,0,0,0.406,-31.259,-57.289,0,0,0,0
2221,0,0,0.395,-32.435,-57.221,0,0,0,0
2222,0,0,0.415,-33.712,-57.146,0,0,0,0
2223,0,0,0.423,-34.885,-57.064,0,0,0,0
2224,0,0,0.465,-36.044,-56.997,0,0,0,0
2225,0,0,0.442,-37.301,-56.711,0,0,0,0
2226,0,0,0.468,-38.564,-56.456,0,0,0,0
2227,0,0,0.427,-39.737,-56.077,0,0,0,0
2228,0,0,0.474,-40.838,-55.857,0,0,0,0
2229,0,0,0.346,-41.74,-55.34,0,0,0,0
2230,0,0,0.314,-42.908,-54.849,0,0,0,0
2231,0,0,0.285,-44.032,-54.352,0,0,0,0
2232,0,0,0.231,-45.038,-53.835,0,0,0,0
2233,0,0,0.254,-46.047,-53.345,0,0,0,0
2234,0,0,0.289,-47.032,-52.896,0,0,0,0
2235,0,0,0.242,-47.966,-52.25,0,0,0,0
2236,0,0,0.215,-48.794,-51.662,0,0,0,0
2237,0,0,0.293,-49.739,-50.924,0,0,0,0
2238,0,0,0.183,-50.72,-49.978,0,0,0,0
2239,0,0,0.105,-51.648,-48.706,0,0,0,0
2240,0,0,0.374,-52.615,-48.056,0,0,0,0
2241,0,0,0.411,-53.289,-47.182,0,0,0,0
2242,0,0,0.456,-53.874,-46.324,0,0,0,0
2243,0,0,0.424,-54.426,-45.189,0,0,0,0
2244,0,0,0.479,-54.943,-44.32,0,0,0,0
2245,0,0,0.45,-55.311,-43.227,0,0,0,0
2246,0,0,0.46,-55.792,-42.011,0,0,0,0
2247,0,0,0.435,-56.131,-40.773,0,0,0,0
2248,0,0,0.451,-56.42,-39.607,0,0,0,0
2249,0,0,0.435,-56.536,-38.492,0,0,0,0
2250,0,0,0.439,-56.713,-37.5,0,0,0,0
2251,0,0,0.466,-56.86,-36.421,0,0,0,0
2252,0,0,0.446,-56.882,-35.324,0,0,0,0
2253,0,0,0.434,-56.905,-34.205,0,0,0,0
2254,0,0,0.4,-56.888,-33.019,0,0,0,0
2255,0,0,0.421,-56.937,-31.938,0,0,0,0
2256,0,0,0.411,-56.972,-30.799,0,0,0,0
2257,0,0,0.419,-56.961,-29.722,0,0,0,0
2258,0,0,0.42,-56.942,-28.606,0,0,0,0
2259,0,0,0.438,-57.0,-27.468,0,0,0,0
2260,0,0,0.43,-57.013,-26.381,0,0,0,0
2261,0,0,0.451,-57.075,-25.204,0,0,0,0
2262,0,0,0.451,-57.077,-24.178,0,0,0,0
2263,0,0,0.446,-57.055,-23.097,0,0,0,0
2264,0,0,0.439,-57.044,-22.018,0,0,0,0
2265,0,0,0.451,-57.084,-20.903,0,0,0,0
2266,0,0,0.454,-57.066,-19.709,0,0,0,0
2267,0,0,0.452,-57.072,-18.656,0,0,0,0
2268,0,0,0.452,-57.078,-17.616,0,0,0,0
2269,0,0,0.432,-57.04,-16.575,0,0,0,0
2270,0,0,0.435,-57.045,-15.547,0,0,0,0
2271,0,0,0.443,-57.081,-14.501,0,0,0,0
2272,0,0,0.458,-57.114,-13.439,0,0,0,0
2273,0,0,0.436,-57.069,-12.43,0,0,0,0
2274,0,0,0.439,-57.076,-11.415,0,0,0,0
2275,0,0,0.448,-57.1,-10.246,0,0,0,0
2276,0,0,0.438,-57.077,-9.009,0,0,0,0
2277,0,0,0.425,-57.078,-7.939,0,0,0,0
2278,0,0,0.417,-57.05,-6.732,0,0,0,0
2279,0,0,0.41,-57.033,-5.543,0,0,0,0
2280,0,0,0.397,-57.004,-4.549,0,0,0,0
2281,0,0,0.405,-57.002,-3.394,0,0,0,0
2282,0,0,0.409,-57.014,-2.284,0,0,0,0
2283,0,0,0.405,-57.015,-1.271,0,0,0,0
2284,0,0,0.403,-57.008,-0.164,0,0,0,0
2285,0,0,0.401,-57.006,0.957,0,0,0,0
2286,0,0,0.404,-57.003,2.148,0,0,0,0
2287,0,0,0.409,-57.01,3.289,0,0,0,0
2288,0,0,0.414,-57.019,4.404,0,0,0,0
2289,0,0,0.413,-57.017,5.473,0,0,0,0
2290,0,0,0.411,-57.016,6.586,0,0,0,0
2291,0,0,0.42,-57.021,7.728,0,0,0,0
2292,0,0,0.407,-56.987,8.818,0,0,0,0
2293,0,0,0.419,-57.002,9.913,0,0,0,0
2294,0,0,0.421,-57.01,10.987,0,0,0,0
2295,0,0,0.431,-57.014,12.029,0,0,0,0
2296,0,0,0.431,-57.018,13.048,0,0,0,0
2297,0,0,0.425,-57.003,14.101,0,0,0,0
2298,0,0,0.415,-56.962,15.131,0,0,0,0
2299,0,0,0.427,-56.99,16.152,0,0,0,0
2300,0,0,0.436,-56.996,17.351,0,0,0,0
2301,0,0,0.439,-56.999,18.404,0,0,0,0
2302,0,0,0.427,-56.975,19.548,0,0,0,0
2303,0,0,0.417,-56.95,20.596,0,0,0,0
2304,0,0,0.427,-56.949,21.593,0,0,0,0
2305,0,0,0.426,-56.948,22.767,0,0,0,0
2306,0,0,0.436,-56.974,23.889,0,0,0,0
2307,0,0,0.443,-56.962,25.087,0,0,0,0
2308,0,0,0.436,-56.972,26.344,0,0,0,0
2309,0,0,0.444,-56.981,27.552,0,0,0,0
2310,0,0,0.455,-56.973,28.752,0,0,0,0
2311,0,0,0.448,-56.964,29.877,0,0,0,0
2312,0,0,0.462,-56.981,30.987,0,0,0,0
2313,0,0,0.456,-56.957,32.122,0,0,0,0
2314,0,0,0.355,-57.0,33.34,0,0,0,0
2315,0,0,0.459,-56.924,34.457,0,0,0,0
2316,0,0,0.478,-56.847,35.607,0,0,0,0
2317,0,0,0.459,-56.717,36.655,0,0,0,0
2318,0,0,0.472,-56.606,37.719,0,0,0,0
2319,0,0,0.451,-56.409,38.696,0,0,0,0
2320,0,0,0.467,-56.166,39.824,0,0,0,0
2321,0,0,0.503,-55.988,40.873,0,0,0,0
2322,0,0,0.492,-55.647,41.936,0,0,0,0
2323,0,0,0.505,-55.311,42.936,0,0,0,0
2324,0,0,0.479,-54.88,43.95,0,0,0,0
2325,0,0,0.48,-54.46,44.848,0,0,0,0
2326,0,0,0.41,-53.875,45.757,0,0,0,0
2327,0,0,0.429,-53.349,46.718,0,0,0,0
2328,0,0,0.284,-52.729,47.526,0,0,0,0
2329,0,0,0.181,-51.968,48.265,0,0,0,0
2330,0,0,0.212,-50.233,50.175,0,0,0,0
2331,0,0,0.295,-49.304,51.118,0,0,0,0
2332,0,0,0.339,-48.418,51.876,0,0,0,0
2333,0,0,0.375,-47.611,52.552,0,0,0,0
2334,0,0,0.478,-46.665,53.41,0,0,0,0
2335,0,0,0.519,-45.842,53.977,0,0,0,0
2336,0,0,0.315,-44.84,54.144,0,0,0,0
2337,0,0,0.308,-43.792,54.627,0,0,0,0
2338,0,0,0.377,-42.85,55.136,0,0,0,0
2339,0,0,0.494,-41.842,55.713,0,0,0,0
2340,0,0,0.476,-40.826,55.994,0,0,0,0
2341,0,0,0.473,-39.8,56.271,0,0,0,0
2342,0,0,0.484,-38.778,56.513,0,0,0,0
2343,0,0,0.493,-37.74,56.647,0,0,0,0
2344,0,0,0.5,-36.748,56.759,0,0,0,0
2345,0,0,0.505,-35.742,56.866,0,0,0,0
2346,0,0,0.471,-34.728,56.862,0,0,0,0
2347,0,0,0.485,-33.648,56.921,0,0,0,0
2348,0,0,0.459,-32.648,56.894,0,0,0,0
2349,0,0,0.45,-31.546,56.895,0,0,0,0
2350,0,0,0.444,-30.498,56.881,0,0,0,0
2351,0,0,0.44,-29.465,56.886,0,0,0,0
2352,0,0,0.456,-28.417,56.93,0,0,0,0
2353,0,0,0.441,-27.362,56.899,0,0,0,0
2354,0,0,0.458,-26.316,56.959,0,0,0,0
2355,0,0,0.458,-25.319,56.964,0,0,0,0
2356,0,0,0.447,-24.327,56.947,0,0,0,0
2357,0,0,0.452,-23.299,56.966,0,0,0,0
2358,0,0,0.464,-22.233,57.011,0,0,0,0
2359,0,0,0.467,-21.151,57.027,0,0,0,0
2360,0,0,0.443,-20.107,56.972,0,0,0,0
2361,0,0,0.459,-19.015,57.026,0,0,0,0
2362,0,0,0.437,-18.004,56.979,0,0,0,0
2363,0,0,0.41,-16.987,56.93,0,0,0,0
2364,0,0,0.433,-15.97,56.995,0,0,0,0
2365,0,0,0.431,-14.843,57.001,0,0,0,0
2366,0,0,0.443,-13.782,57.038,0,0,0,0
2367,0,0,0.435,-12.788,57.035,0,0,0,0
2368,0,0,0.446,-12.798,57.06,0,0,0,0
